AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
-838.87,61.52,515.62,-3.77,-46.68,-12.4,42.15,-0.9,37.95,34.64
-822.75,138.18,578.61,5.69,-54.75,-13.61,40.5,-0.45,40.35,34.36
-828.61,21.97,641.6,-6.99,-47.85,-18.06,40.2,-1.05,39.75,34.4
-812.99,33.69,704.1,8.23,-49.52,-18.85,39.0,-2.25,42.75,34.69
-756.35,41.99,621.09,-5.95,-51.05,-22.18,37.05,-0.6,41.55,34.5
-743.16,20.02,642.09,-5.6,-51.65,-28.21,36.15,-1.5,43.5,34.83
-677.73,0.49,777.34,9.32,-56.05,-23.97,35.25,-3.15,43.65,34.64
-732.91,-25.88,689.45,-0.06,-50.21,-22.05,33.0,-3.0,45.6,34.4
-645.02,-41.5,676.76,3.83,-68.47,-18.8,32.85,-3.6,47.1,34.74
-609.86,-31.74,775.88,0.6,-56.95,-19.15,30.0,-3.15,46.8,34.55
-659.67,6.35,712.89,-4.91,-41.44,-22.98,28.65,-2.4,46.35,34.4
-663.09,-63.48,713.38,-0.57,-65.88,-37.61,29.1,-5.85,48.0,34.5
-580.57,-85.94,827.64,-12.73,-94.69,-9.42,26.4,-4.35,48.9,34.64
-449.22,-113.77,951.66,-26.98,-82.42,-21.21,23.4,-4.5,49.05,34.69
-456.05,-97.17,910.64,6.78,-74.36,-16.55,22.2,-5.4,50.55,34.64
-410.16,-22.46,961.91,3.76,-87.6,-14.87,19.05,-4.65,49.95,34.83
-299.32,-60.55,1014.16,-2.05,-68.87,-23.55,18.15,-5.55,51.15,34.64
-348.14,-63.48,999.51,-8.5,-71.16,-21.34,15.15,-5.7,50.85,34.93
-263.18,-104.49,1030.76,-6.08,-61.6,-27.08,12.3,-4.95,49.2,34.64
-250.49,-106.45,1049.8,3.4,-54.4,-25.85,12.15,-6.3,48.6,34.5
-234.86,-136.23,1058.11,8.33,-63.54,-20.95,10.65,-5.55,48.3,34.55
-176.76,-117.68,1068.85,9.72,-42.6,-18.83,9.3,-6.3,47.25,34.4
-121.58,-115.72,1125.0,5.89,-45.37,-14.5,8.7,-6.15,45.3,34.64
-174.8,-105.47,1072.27,-4.68,-20.48,-20.76,8.55,-4.8,46.65,34.64
-190.43,-83.5,1031.25,-10.32,-20.69,-23.68,9.15,-5.4,45.75,34.5
-128.42,-121.58,1025.88,-15.94,-28.77,-25.92,9.3,-6.3,44.85,34.4
-64.45,-135.74,1093.26,-18.89,-15.48,-21.8,8.55,-6.3,45.9,34.5
